Fecha,EZEIZA,AEROPARQUE,BUENOS AIRES,BARILOCHE
1/1/1996,24.4,24.5,25.6,14.8
1/2/1996,25.1,25.7,27.3,11.4
1/3/1996,29.0,28.5,30.6,13.0
1/4/1996,24.2,24.9,24.8,9.7
1/5/1996,20.4,23.9,23.5,13.5
1/6/1996,23.2,23.3,24.0,12.8
1/7/1996,25.4,25.1,25.7,14.5
1/8/1996,24.9,26.1,26.5,13.4
1/9/1996,25.3,27.0,27.1,18.8
1/10/1996,27.6,27.6,29.0,16.7
1/11/1996,25.1,24.1,24.9,10.5
1/12/1996,22.2,21.9,22.0,11.1
1/13/1996,20.4,20.8,20.9,8.8
1/14/1996,17.8,20.0,19.3,10.8
1/15/1996,21.6,22.6,23.2,13.4
1/16/1996,23.0,23.2,24.2,16.1
1/17/1996,23.1,23.0,23.0,17.9
1/18/1996,21.0,23.1,23.5,17.1
1/19/1996,22.0,22.5,23.6,19.6
1/20/1996,21.6,22.9,24.0,16.8
1/21/1996,25.0,24.2,25.4,14.5
1/22/1996,25.6,24.1,26.9,11.4
1/23/1996,20.8,21.5,22.5,12.3
1/24/1996,23.0,23.9,24.6,13.8
1/25/1996,26.7,27.1,27.7,12.5
1/26/1996,24.7,25.7,25.8,12.1
1/27/1996,24.2,25.4,26.6,13.0
1/28/1996,23.1,23.8,24.5,17.9
1/29/1996,26.0,26.5,26.9,14.3
1/30/1996,27.5,27.3,28.5,14.8
1/31/1996,23.7,24.1,25.3,15.1
2/1/1996,21.0,22.6,22.5,15.9
2/2/1996,20.9,22.6,23.3,14.7
2/3/1996,22.2,23.0,23.1,11.8
2/4/1996,22.8,22.8,23.5,8.8
2/5/1996,20.1,22.2,22.2,6.4
2/6/1996,19.0,20.1,20.4,13.8
2/7/1996,25.3,25.4,26.3,14.1
2/8/1996,21.1,23.9,23.4,12.5
2/9/1996,22.2,23.4,24.5,11.1
2/10/1996,18.5,20.1,20.2,10.1
2/11/1996,14.7,16.2,16.1,12.3
2/12/1996,18.8,19.4,20.2,14.8
2/13/1996,21.0,22.3,21.8,15.2
2/14/1996,22.5,23.8,24.6,18.2
2/15/1996,23.9,24.9,25.6,19.5
2/16/1996,25.3,25.8,27.2,17.6
2/17/1996,26.3,25.7,27.3,16.6
2/18/1996,25.7,25.3,26.0,18.4
2/19/1996,27.3,27.0,28.8,11.8
2/20/1996,23.8,23.7,24.1,10.8
2/21/1996,21.9,22.9,22.6,14.0
2/22/1996,26.4,26.7,28.2,11.9
2/23/1996,23.2,23.2,24.1,10.8
2/24/1996,18.3,19.8,19.2,11.0
2/25/1996,21.0,22.4,22.8,15.3
2/26/1996,25.8,25.1,26.2,15.4
2/27/1996,24.4,26.1,26.3,11.4
2/28/1996,24.7,26.4,26.5,12.5
2/29/1996,21.6,22.0,23.0,16.3
3/1/1996,17.3,19.5,19.5,16.9
3/2/1996,20.4,22.3,22.9,14.5
3/3/1996,22.0,22.8,23.7,17.2
3/4/1996,22.6,23.2,23.9,18.0
3/5/1996,21.7,23.0,24.1,15.1
3/6/1996,22.5,23.2,24.6,14.5
3/7/1996,24.0,24.3,24.9,14.0
3/8/1996,25.4,25.7,25.9,15.0
3/9/1996,23.0,22.8,23.1,13.4
3/10/1996,23.6,24.2,25.6,13.7
3/11/1996,22.8,23.6,23.5,11.7
3/12/1996,21.9,22.7,22.9,9.8
3/13/1996,22.3,23.8,24.1,6.8
3/14/1996,22.8,23.9,25.5,10.3
3/15/1996,23.8,24.1,25.9,13.1
3/16/1996,23.8,24.7,26.7,15.8
3/17/1996,24.7,25.1,25.7,15.5
3/18/1996,25.9,25.6,27.4,13.9
3/19/1996,25.3,26.1,27.0,16.5
3/20/1996,24.5,25.1,25.5,14.4
3/21/1996,25.0,24.8,26.3,15.8
3/22/1996,20.6,21.3,21.0,12.8
3/23/1996,18.6,19.2,19.1,15.9
3/24/1996,15.6,17.1,17.5,12.6
3/25/1996,18.5,20.0,19.8,10.0
3/26/1996,18.5,20.6,20.8,9.3
3/27/1996,17.2,20.9,20.1,13.5
3/28/1996,23.6,23.2,24.4,14.2
3/29/1996,24.1,24.1,25.8,12.3
3/30/1996,23.0,22.2,23.9,10.6
3/31/1996,21.4,22.0,22.5,10.4
4/1/1996,23.0,24.4,24.6,6.2
4/2/1996,21.5,21.8,21.8,5.5
4/3/1996,17.7,19.0,18.6,6.3
4/4/1996,18.5,20.3,19.9,10.2
4/5/1996,22.3,22.4,23.0,7.3
4/6/1996,20.0,19.7,19.7,8.0
4/7/1996,14.2,15.7,14.8,5.6
4/8/1996,21.0,20.4,21.3,8.7
4/9/1996,19.2,22.1,22.2,9.0
4/10/1996,13.7,16.8,16.5,8.9
4/11/1996,17.6,20.7,20.7,7.7
4/12/1996,21.0,22.3,22.8,7.0
4/13/1996,17.1,19.6,19.3,8.0
4/14/1996,19.7,19.9,20.0,3.7
4/15/1996,15.4,16.2,15.8,4.0
4/16/1996,12.0,13.7,13.6,4.6
4/17/1996,10.7,12.9,13.2,9.0
4/18/1996,11.2,13.3,12.4,9.9
4/19/1996,14.2,16.6,16.0,10.8
4/20/1996,15.6,16.4,17.6,4.2
4/21/1996,18.2,19.0,18.9,4.8
4/22/1996,18.1,18.6,19.2,10.5
4/23/1996,16.5,19.4,18.9,4.9
4/24/1996,17.0,19.0,18.7,7.0
4/25/1996,15.8,17.2,17.1,9.4
4/26/1996,14.7,17.0,17.3,6.9
4/27/1996,14.7,18.0,18.1,5.6
4/28/1996,17.3,18.5,19.2,8.4
4/29/1996,19.7,19.4,20.2,9.1
4/30/1996,18.4,19.0,20.5,8.5
5/1/1996,19.5,18.7,19.7,10.3
5/2/1996,18.2,18.0,18.9,5.9
5/3/1996,18.7,17.7,19.5,8.1
5/4/1996,20.0,19.9,20.8,16.1
5/5/1996,20.8,20.3,21.9,7.2
5/6/1996,21.3,20.6,21.9,11.0
5/7/1996,19.9,21.3,21.8,4.2
5/8/1996,11.7,16.0,14.2,6.7
5/9/1996,14.6,18.7,17.6,9.0
5/10/1996,14.9,16.8,16.9,7.3
5/11/1996,15.7,17.7,18.1,7.9
5/12/1996,17.9,18.5,19.2,4.9
5/13/1996,15.7,18.6,19.0,11.2
5/14/1996,14.6,15.0,15.7,6.0
5/15/1996,11.8,14.7,14.4,3.5
5/16/1996,13.6,17.0,15.9,4.0
5/17/1996,15.7,16.7,17.0,7.2
5/18/1996,14.4,14.9,15.0,4.7
5/19/1996,11.8,14.1,13.5,6.6
5/20/1996,8.1,11.1,9.8,4.5
5/21/1996,10.7,12.2,12.4,1.5
5/22/1996,10.3,13.7,12.7,2.9
5/23/1996,8.1,11.3,10.4,5.2
